dimension,value,n,correct,SA_all_100,wilson95_low,wilson95_high
module_name,m0_gravity,27,0,0.0,0.0,12.455502974186706
module_name,m10_be_distribution,27,0,0.0,0.0,12.455502974186706
module_name,m11_heat_transfer,27,0,0.0,0.0,12.455502974186706
module_name,m1_coulomb_force,27,0,0.0,0.0,12.455502974186706
module_name,m2_magnetic_force,27,0,0.0,0.0,12.455502974186706
module_name,m3_fourier_law,27,0,0.0,0.0,12.455502974186706
module_name,m4_snell_law,27,0,0.0,0.0,12.455502974186706
module_name,m5_radioactive_decay,27,0,0.0,0.0,12.455502974186706
module_name,m6_underdamped_harmonic,27,0,0.0,0.0,12.455502974186706
module_name,m7_malus_law,27,0,0.0,0.0,12.455502974186706
module_name,m8_sound_speed,27,1,3.7037037037037037,0.6568145980785103,18.283465933575844
module_name,m9_hooke_law,27,1,3.7037037037037037,0.6568145980785103,18.283465933575844
equation_difficulty,easy,108,2,1.8518518518518519,0.5093224344768711,6.501904800376767
equation_difficulty,hard,108,0,0.0,0.0,3.4347359746557027
equation_difficulty,medium,108,0,0.0,0.0,3.4347359746557027
model_system,complex_system,108,0,0.0,0.0,3.4347359746557027
model_system,simple_system,108,1,0.9259259259259259,0.16363608538834917,5.059345519366322
model_system,vanilla_equation,108,1,0.9259259259259259,0.16363608538834917,5.059345519366322
